date,day_of_week,post_count,cumulative_total
2025-05-17,Saturday,23,23
2025-05-18,Sunday,12,35
2025-05-19,Monday,2,37
2025-05-20,Tuesday,13,50
2025-05-21,Wednesday,18,68
2025-05-22,Thursday,13,81
2025-05-23,Friday,24,105
2025-05-24,Saturday,24,129
2025-05-25,Sunday,19,148
2025-05-26,Monday,20,168
2025-05-27,Tuesday,2,170
2025-05-28,Wednesday,5,175
2025-05-29,Thursday,15,190
2025-05-30,Friday,27,217
2025-05-31,Saturday,30,247
2025-06-01,Sunday,8,255
2025-06-02,Monday,12,267
2025-06-03,Tuesday,1,268
2025-06-04,Wednesday,1,269
2025-06-05,Thursday,9,278
2025-06-06,Friday,28,306
2025-06-07,Saturday,26,332
2025-06-08,Sunday,11,343
2025-06-09,Monday,8,351
2025-06-10,Tuesday,4,355
2025-06-11,Wednesday,1,356
2025-06-12,Thursday,3,359
2025-06-13,Friday,44,403
2025-06-14,Saturday,21,424
2025-06-15,Sunday,7,431
2025-06-16,Monday,8,439
2025-06-17,Tuesday,2,441
2025-06-18,Wednesday,9,450
2025-06-19,Thursday,1,451
2025-06-20,Friday,72,523
2025-06-21,Saturday,105,628
2025-06-22,Sunday,54,682
2025-06-23,Monday,31,713
2025-06-24,Tuesday,37,750
2025-06-25,Wednesday,52,802
2025-06-26,Thursday,84,886
2025-06-27,Friday,86,972
2025-06-28,Saturday,105,1077
2025-06-29,Sunday,47,1124
2025-06-30,Monday,48,1172
2025-07-01,Tuesday,15,1187
2025-07-02,Wednesday,25,1212
2025-07-03,Thursday,32,1244
2025-07-04,Friday,47,1291
2025-07-05,Saturday,66,1357
2025-07-06,Sunday,46,1403
2025-07-07,Monday,15,1418
2025-07-08,Tuesday,36,1454
2025-07-09,Wednesday,30,1484
2025-07-10,Thursday,68,1552
2025-07-11,Friday,54,1606
2025-07-12,Saturday,99,1705
2025-07-13,Sunday,57,1762
2025-07-14,Monday,45,1807
2025-07-15,Tuesday,33,1840
2025-07-16,Wednesday,37,1877
2025-07-17,Thursday,53,1930
2025-07-18,Friday,69,1999
2025-07-19,Saturday,107,2106
2025-07-20,Sunday,40,2146
2025-07-21,Monday,14,2160
2025-07-22,Tuesday,40,2200
2025-07-23,Wednesday,26,2226
2025-07-24,Thursday,25,2251
2025-07-25,Friday,49,2300
2025-07-26,Saturday,67,2367
2025-07-27,Sunday,41,2408
2025-07-28,Monday,18,2426
2025-07-29,Tuesday,18,2444
2025-07-30,Wednesday,6,2450
2025-07-31,Thursday,23,2473
2025-08-01,Friday,53,2526
2025-08-02,Saturday,85,2611
2025-08-03,Sunday,44,2655
2025-08-04,Monday,16,2671
2025-08-05,Tuesday,20,2691
2025-08-06,Wednesday,23,2714
2025-08-07,Thursday,20,2734
2025-08-08,Friday,54,2788
2025-08-09,Saturday,74,2862
2025-08-10,Sunday,16,2878
2025-08-11,Monday,15,2893
2025-08-12,Tuesday,15,2908
2025-08-13,Wednesday,26,2934
2025-08-14,Thursday,43,2977
2025-08-15,Friday,51,3028
2025-08-16,Saturday,61,3089
2025-08-17,Sunday,30,3119
2025-08-18,Monday,11,3130
2025-08-19,Tuesday,19,3149
2025-08-20,Wednesday,22,3171
2025-08-21,Thursday,39,3210
2025-08-22,Friday,56,3266
2025-08-23,Saturday,90,3356
2025-08-24,Sunday,64,3420
2025-08-25,Monday,81,3501
2025-08-26,Tuesday,32,3533
2025-08-27,Wednesday,34,3567
2025-08-28,Thursday,38,3605
2025-08-29,Friday,55,3660
2025-08-30,Saturday,85,3745
2025-08-31,Sunday,59,3804
2025-09-01,Monday,9,3813
2025-09-02,Tuesday,7,3820
2025-09-03,Wednesday,10,3830
2025-09-04,Thursday,45,3875
2025-09-05,Friday,75,3950
2025-09-06,Saturday,99,4049
2025-09-07,Sunday,51,4100
2025-09-08,Monday,32,4132
2025-09-09,Tuesday,16,4148
2025-09-10,Wednesday,12,4160
2025-09-11,Thursday,31,4191
2025-09-12,Friday,54,4245
2025-09-13,Saturday,66,4311
2025-09-14,Sunday,27,4338
2025-09-15,Monday,27,4365
2025-09-16,Tuesday,19,4384
2025-09-17,Wednesday,27,4411
2025-09-18,Thursday,39,4450
2025-09-19,Friday,62,4512
2025-09-20,Saturday,70,4582
2025-09-21,Sunday,46,4628
2025-09-22,Monday,46,4674
2025-09-23,Tuesday,21,4695
2025-09-24,Wednesday,27,4722
2025-09-25,Thursday,34,4756
2025-09-26,Friday,55,4811
2025-09-27,Saturday,78,4889
2025-09-28,Sunday,45,4934
2025-09-29,Monday,17,4951
2025-09-30,Tuesday,43,4994
2025-10-01,Wednesday,38,5032
2025-10-02,Thursday,39,5071
2025-10-03,Friday,114,5185
2025-10-04,Saturday,100,5285
2025-10-05,Sunday,43,5328
2025-10-06,Monday,13,5341
2025-10-07,Tuesday,15,5356
2025-10-08,Wednesday,31,5387
2025-10-09,Thursday,70,5457
2025-10-10,Friday,83,5540
2025-10-11,Saturday,130,5670
2025-10-12,Sunday,44,5714
2025-10-13,Monday,5,5719
2025-10-14,Tuesday,25,5744
2025-10-15,Wednesday,23,5767
2025-10-16,Thursday,52,5819
2025-10-17,Friday,105,5924
2025-10-18,Saturday,118,6042
2025-10-19,Sunday,48,6090
2025-10-20,Monday,24,6114
2025-10-21,Tuesday,42,6156
2025-10-22,Wednesday,24,6180
2025-10-23,Thursday,76,6256
2025-10-24,Friday,74,6330
2025-10-25,Saturday,178,6508
2025-10-26,Sunday,72,6580
2025-10-27,Monday,17,6597
2025-10-28,Tuesday,17,6614
2025-10-29,Wednesday,35,6649
2025-10-30,Thursday,55,6704
2025-10-31,Friday,83,6787
2025-11-01,Saturday,120,6907
2025-11-02,Sunday,54,6961
2025-11-17,Monday,5,6966
2025-11-18,Tuesday,13,6979
2025-11-19,Wednesday,9,6988
2025-11-20,Thursday,22,7010
2025-11-21,Friday,34,7044
2025-11-22,Saturday,145,7189
2025-11-23,Sunday,67,7256
2025-11-24,Monday,48,7304
2025-11-25,Tuesday,23,7327
2025-11-26,Wednesday,37,7364
2025-11-27,Thursday,51,7415
2025-11-28,Friday,93,7508
2025-11-29,Saturday,126,7634
2025-11-30,Sunday,52,7686
2025-12-01,Monday,2,7688
2025-12-02,Tuesday,21,7709
